n,case,op,us
1,pp,and,0.006
1,pp,or,0.007
1,pp,xor,0.007
1,nn,and,0.035
1,nn,or,0.035
1,nn,xor,0.030
2,pp,and,0.005
2,pp,or,0.007
2,pp,xor,0.007
2,nn,and,0.034
2,nn,or,0.034
2,nn,xor,0.027
4,pp,and,0.007
4,pp,or,0.007
4,pp,xor,0.009
4,nn,and,0.042
4,nn,or,0.042
4,nn,xor,0.034
8,pp,and,0.006
8,pp,or,0.008
8,pp,xor,0.007
8,nn,and,0.043
8,nn,or,0.044
8,nn,xor,0.035
16,pp,and,0.007
16,pp,or,0.008
16,pp,xor,0.008
16,nn,and,0.056
16,nn,or,0.057
16,nn,xor,0.043
32,pp,and,0.008
32,pp,or,0.009
32,pp,xor,0.009
32,nn,and,0.088
32,nn,or,0.088
32,nn,xor,0.064
64,pp,and,0.011
64,pp,or,0.011
64,pp,xor,0.011
64,nn,and,0.155
64,nn,or,0.155
64,nn,xor,0.110
128,pp,and,0.017
128,pp,or,0.017
128,pp,xor,0.017
128,nn,and,0.291
128,nn,or,0.289
128,nn,xor,0.208
256,pp,and,0.027
256,pp,or,0.028
256,pp,xor,0.028
256,nn,and,0.563
256,nn,or,0.563
256,nn,xor,0.402
512,pp,and,0.054
512,pp,or,0.054
512,pp,xor,0.054
512,nn,and,1.164
512,nn,or,1.158
512,nn,xor,0.832
1024,pp,and,0.104
1024,pp,or,0.105
1024,pp,xor,0.106
1024,nn,and,2.329
1024,nn,or,2.325
1024,nn,xor,1.681
2048,pp,and,0.262
2048,pp,or,0.263
2048,pp,xor,0.261
2048,nn,and,4.880
2048,nn,or,4.850
2048,nn,xor,3.594
4096,pp,and,0.797
4096,pp,or,0.801
4096,pp,xor,0.800
4096,nn,and,10.365
4096,nn,or,10.409
4096,nn,xor,7.705
8192,pp,and,1.585
8192,pp,or,1.587
8192,pp,xor,1.585
8192,nn,and,20.866
8192,nn,or,20.896
8192,nn,xor,15.445
16384,pp,and,3.177
16384,pp,or,3.176
16384,pp,xor,3.168
16384,nn,and,42.204
16384,nn,or,42.212
16384,nn,xor,31.060
