n,case,op,us
1,pp,and,0.006
1,pp,or,0.007
1,pp,xor,0.007
1,nn,and,0.035
1,nn,or,0.036
1,nn,xor,0.030
2,pp,and,0.006
2,pp,or,0.007
2,pp,xor,0.007
2,nn,and,0.035
2,nn,or,0.035
2,nn,xor,0.028
4,pp,and,0.007
4,pp,or,0.007
4,pp,xor,0.007
4,nn,and,0.043
4,nn,or,0.043
4,nn,xor,0.035
8,pp,and,0.006
8,pp,or,0.007
8,pp,xor,0.007
8,nn,and,0.044
8,nn,or,0.045
8,nn,xor,0.035
16,pp,and,0.007
16,pp,or,0.008
16,pp,xor,0.008
16,nn,and,0.057
16,nn,or,0.058
16,nn,xor,0.044
32,pp,and,0.008
32,pp,or,0.009
32,pp,xor,0.009
32,nn,and,0.090
32,nn,or,0.089
32,nn,xor,0.065
64,pp,and,0.011
64,pp,or,0.011
64,pp,xor,0.011
64,nn,and,0.156
64,nn,or,0.157
64,nn,xor,0.112
128,pp,and,0.016
128,pp,or,0.017
128,pp,xor,0.017
128,nn,and,0.292
128,nn,or,0.291
128,nn,xor,0.208
256,pp,and,0.027
256,pp,or,0.028
256,pp,xor,0.027
256,nn,and,0.561
256,nn,or,0.559
256,nn,xor,0.399
512,pp,and,0.054
512,pp,or,0.055
512,pp,xor,0.055
512,nn,and,1.148
512,nn,or,1.146
512,nn,xor,0.818
1024,pp,and,0.102
1024,pp,or,0.103
1024,pp,xor,0.103
1024,nn,and,2.345
1024,nn,or,2.345
1024,nn,xor,1.661
2048,pp,and,0.290
2048,pp,or,0.292
2048,pp,xor,0.294
2048,nn,and,4.906
2048,nn,or,4.881
2048,nn,xor,3.562
4096,pp,and,0.803
4096,pp,or,0.798
4096,pp,xor,0.798
4096,nn,and,10.468
4096,nn,or,10.501
4096,nn,xor,7.756
8192,pp,and,1.577
8192,pp,or,1.573
8192,pp,xor,1.573
8192,nn,and,21.033
8192,nn,or,21.022
8192,nn,xor,15.489
16384,pp,and,3.163
16384,pp,or,3.149
16384,pp,xor,3.224
16384,nn,and,42.717
16384,nn,or,42.875
16384,nn,xor,31.234
