n,case,op,us
1,pp,and,0.005
1,pp,or,0.007
1,pp,xor,0.007
1,nn,and,0.034
1,nn,or,0.036
1,nn,xor,0.029
2,pp,and,0.005
2,pp,or,0.007
2,pp,xor,0.007
2,nn,and,0.039
2,nn,or,0.036
2,nn,xor,0.030
4,pp,and,0.007
4,pp,or,0.007
4,pp,xor,0.007
4,nn,and,0.043
4,nn,or,0.043
4,nn,xor,0.035
8,pp,and,0.006
8,pp,or,0.007
8,pp,xor,0.007
8,nn,and,0.044
8,nn,or,0.045
8,nn,xor,0.035
16,pp,and,0.007
16,pp,or,0.008
16,pp,xor,0.008
16,nn,and,0.060
16,nn,or,0.064
16,nn,xor,0.048
32,pp,and,0.008
32,pp,or,0.009
32,pp,xor,0.009
32,nn,and,0.096
32,nn,or,0.095
32,nn,xor,0.072
64,pp,and,0.011
64,pp,or,0.011
64,pp,xor,0.011
64,nn,and,0.159
64,nn,or,0.161
64,nn,xor,0.113
128,pp,and,0.016
128,pp,or,0.017
128,pp,xor,0.017
128,nn,and,0.295
128,nn,or,0.296
128,nn,xor,0.210
256,pp,and,0.028
256,pp,or,0.029
256,pp,xor,0.029
256,nn,and,0.571
256,nn,or,0.572
256,nn,xor,0.413
512,pp,and,0.053
512,pp,or,0.054
512,pp,xor,0.055
512,nn,and,1.165
512,nn,or,1.169
512,nn,xor,0.838
1024,pp,and,0.105
1024,pp,or,0.106
1024,pp,xor,0.106
1024,nn,and,2.344
1024,nn,or,2.341
1024,nn,xor,1.710
2048,pp,and,0.261
2048,pp,or,0.264
2048,pp,xor,0.267
2048,nn,and,5.018
2048,nn,or,5.019
2048,nn,xor,3.645
4096,pp,and,0.863
4096,pp,or,0.847
4096,pp,xor,0.845
4096,nn,and,10.598
4096,nn,or,10.759
4096,nn,xor,8.043
8192,pp,and,1.633
8192,pp,or,1.613
8192,pp,xor,1.602
8192,nn,and,21.702
8192,nn,or,21.931
8192,nn,xor,16.008
16384,pp,and,3.224
16384,pp,or,3.252
16384,pp,xor,3.246
16384,nn,and,46.505
16384,nn,or,49.401
16384,nn,xor,34.393
