n,case,op,us
1,pp,and,0.006
1,pp,or,0.007
1,pp,xor,0.007
1,nn,and,0.035
1,nn,or,0.031
1,nn,xor,0.026
2,pp,and,0.005
2,pp,or,0.006
2,pp,xor,0.007
2,nn,and,0.034
2,nn,or,0.034
2,nn,xor,0.027
4,pp,and,0.007
4,pp,or,0.007
4,pp,xor,0.007
4,nn,and,0.042
4,nn,or,0.042
4,nn,xor,0.034
8,pp,and,0.006
8,pp,or,0.008
8,pp,xor,0.007
8,nn,and,0.043
8,nn,or,0.044
8,nn,xor,0.034
16,pp,and,0.006
16,pp,or,0.008
16,pp,xor,0.008
16,nn,and,0.056
16,nn,or,0.056
16,nn,xor,0.043
32,pp,and,0.010
32,pp,or,0.009
32,pp,xor,0.009
32,nn,and,0.088
32,nn,or,0.090
32,nn,xor,0.064
64,pp,and,0.010
64,pp,or,0.011
64,pp,xor,0.011
64,nn,and,0.154
64,nn,or,0.153
64,nn,xor,0.109
128,pp,and,0.016
128,pp,or,0.017
128,pp,xor,0.017
128,nn,and,0.286
128,nn,or,0.283
128,nn,xor,0.205
256,pp,and,0.028
256,pp,or,0.028
256,pp,xor,0.028
256,nn,and,0.558
256,nn,or,0.556
256,nn,xor,0.397
512,pp,and,0.051
512,pp,or,0.053
512,pp,xor,0.053
512,nn,and,1.138
512,nn,or,1.135
512,nn,xor,0.815
1024,pp,and,0.103
1024,pp,or,0.103
1024,pp,xor,0.104
1024,nn,and,2.289
1024,nn,or,2.281
1024,nn,xor,1.659
2048,pp,and,0.260
2048,pp,or,0.262
2048,pp,xor,0.261
2048,nn,and,4.753
2048,nn,or,4.750
2048,nn,xor,3.485
4096,pp,and,0.795
4096,pp,or,0.794
4096,pp,xor,0.793
4096,nn,and,10.229
4096,nn,or,10.218
4096,nn,xor,7.570
8192,pp,and,1.554
8192,pp,or,1.564
8192,pp,xor,1.563
8192,nn,and,20.464
8192,nn,or,20.458
8192,nn,xor,15.105
16384,pp,and,3.113
16384,pp,or,3.109
16384,pp,xor,3.109
16384,nn,and,45.014
16384,nn,or,45.147
16384,nn,xor,32.926
