n,case,op,us
1,pp,and,0.006
1,pp,or,0.007
1,pp,xor,0.007
1,nn,and,0.035
1,nn,or,0.035
1,nn,xor,0.030
2,pp,and,0.005
2,pp,or,0.006
2,pp,xor,0.007
2,nn,and,0.035
2,nn,or,0.035
2,nn,xor,0.028
4,pp,and,0.007
4,pp,or,0.007
4,pp,xor,0.007
4,nn,and,0.042
4,nn,or,0.042
4,nn,xor,0.034
8,pp,and,0.006
8,pp,or,0.007
8,pp,xor,0.007
8,nn,and,0.045
8,nn,or,0.045
8,nn,xor,0.035
16,pp,and,0.007
16,pp,or,0.008
16,pp,xor,0.008
16,nn,and,0.059
16,nn,or,0.059
16,nn,xor,0.046
32,pp,and,0.008
32,pp,or,0.009
32,pp,xor,0.009
32,nn,and,0.090
32,nn,or,0.089
32,nn,xor,0.066
64,pp,and,0.011
64,pp,or,0.011
64,pp,xor,0.011
64,nn,and,0.157
64,nn,or,0.159
64,nn,xor,0.111
128,pp,and,0.016
128,pp,or,0.017
128,pp,xor,0.017
128,nn,and,0.286
128,nn,or,0.286
128,nn,xor,0.207
256,pp,and,0.028
256,pp,or,0.028
256,pp,xor,0.028
256,nn,and,0.552
256,nn,or,0.552
256,nn,xor,0.394
512,pp,and,0.053
512,pp,or,0.053
512,pp,xor,0.054
512,nn,and,1.131
512,nn,or,1.129
512,nn,xor,0.809
1024,pp,and,0.103
1024,pp,or,0.102
1024,pp,xor,0.103
1024,nn,and,2.303
1024,nn,or,2.302
1024,nn,xor,1.662
2048,pp,and,0.284
2048,pp,or,0.286
2048,pp,xor,0.285
2048,nn,and,4.759
2048,nn,or,4.759
2048,nn,xor,3.490
4096,pp,and,0.789
4096,pp,or,0.793
4096,pp,xor,0.791
4096,nn,and,10.236
4096,nn,or,10.226
4096,nn,xor,7.558
8192,pp,and,1.556
8192,pp,or,1.563
8192,pp,xor,1.562
8192,nn,and,20.474
8192,nn,or,20.847
8192,nn,xor,15.649
16384,pp,and,3.114
16384,pp,or,3.130
16384,pp,xor,3.112
16384,nn,and,42.498
16384,nn,or,46.089
16384,nn,xor,35.026
