n,case,op,us
1,pp,and,0.006
1,pp,or,0.007
1,pp,xor,0.007
1,nn,and,0.034
1,nn,or,0.035
1,nn,xor,0.030
2,pp,and,0.006
2,pp,or,0.007
2,pp,xor,0.007
2,nn,and,0.035
2,nn,or,0.034
2,nn,xor,0.030
4,pp,and,0.007
4,pp,or,0.007
4,pp,xor,0.007
4,nn,and,0.042
4,nn,or,0.042
4,nn,xor,0.037
8,pp,and,0.006
8,pp,or,0.007
8,pp,xor,0.007
8,nn,and,0.043
8,nn,or,0.044
8,nn,xor,0.035
16,pp,and,0.007
16,pp,or,0.008
16,pp,xor,0.008
16,nn,and,0.057
16,nn,or,0.057
16,nn,xor,0.044
32,pp,and,0.008
32,pp,or,0.009
32,pp,xor,0.009
32,nn,and,0.090
32,nn,or,0.090
32,nn,xor,0.067
64,pp,and,0.010
64,pp,or,0.011
64,pp,xor,0.011
64,nn,and,0.154
64,nn,or,0.155
64,nn,xor,0.112
128,pp,and,0.016
128,pp,or,0.017
128,pp,xor,0.017
128,nn,and,0.287
128,nn,or,0.287
128,nn,xor,0.206
256,pp,and,0.027
256,pp,or,0.027
256,pp,xor,0.027
256,nn,and,0.557
256,nn,or,0.556
256,nn,xor,0.397
512,pp,and,0.052
512,pp,or,0.054
512,pp,xor,0.056
512,nn,and,1.139
512,nn,or,1.132
512,nn,xor,0.813
1024,pp,and,0.102
1024,pp,or,0.103
1024,pp,xor,0.102
1024,nn,and,2.284
1024,nn,or,2.284
1024,nn,xor,1.651
2048,pp,and,0.258
2048,pp,or,0.260
2048,pp,xor,0.259
2048,nn,and,4.749
2048,nn,or,4.725
2048,nn,xor,3.493
4096,pp,and,0.784
4096,pp,or,0.787
4096,pp,xor,0.786
4096,nn,and,10.197
4096,nn,or,10.176
4096,nn,xor,7.533
8192,pp,and,1.557
8192,pp,or,1.557
8192,pp,xor,1.557
8192,nn,and,20.378
8192,nn,or,20.430
8192,nn,xor,15.050
16384,pp,and,3.122
16384,pp,or,3.128
16384,pp,xor,3.146
16384,nn,and,43.098
16384,nn,or,41.404
16384,nn,xor,30.192
