n,bi_us,zint_us,zint_over_bi
1,0.001,0.002,1.040423
2,0.002,0.002,1.019063
3,0.003,0.003,0.983333
4,0.004,0.003,0.853155
5,0.005,0.004,0.759252
6,0.006,0.004,0.684166
7,0.007,0.004,0.645098
8,0.008,0.005,0.610895
10,0.010,0.005,0.526966
12,0.011,0.006,0.494526
16,0.016,0.007,0.452489
20,0.020,0.009,0.428281
24,0.025,0.010,0.390567
32,0.034,0.013,0.392967
48,0.054,0.019,0.347599
64,0.073,0.025,0.346879
96,0.113,0.037,0.329640
128,0.152,0.050,0.330617
192,0.225,0.078,0.347302
256,0.301,0.100,0.332826
