n,case,op,us
1,pp,and,0.006
1,pp,or,0.007
1,pp,xor,0.007
1,nn,and,0.035
1,nn,or,0.035
1,nn,xor,0.030
2,pp,and,0.006
2,pp,or,0.007
2,pp,xor,0.007
2,nn,and,0.035
2,nn,or,0.035
2,nn,xor,0.029
4,pp,and,0.007
4,pp,or,0.007
4,pp,xor,0.007
4,nn,and,0.043
4,nn,or,0.043
4,nn,xor,0.035
8,pp,and,0.006
8,pp,or,0.007
8,pp,xor,0.007
8,nn,and,0.044
8,nn,or,0.045
8,nn,xor,0.036
16,pp,and,0.007
16,pp,or,0.008
16,pp,xor,0.008
16,nn,and,0.057
16,nn,or,0.058
16,nn,xor,0.044
32,pp,and,0.008
32,pp,or,0.009
32,pp,xor,0.009
32,nn,and,0.089
32,nn,or,0.090
32,nn,xor,0.066
64,pp,and,0.011
64,pp,or,0.011
64,pp,xor,0.011
64,nn,and,0.157
64,nn,or,0.157
64,nn,xor,0.112
128,pp,and,0.017
128,pp,or,0.017
128,pp,xor,0.017
128,nn,and,0.293
128,nn,or,0.292
128,nn,xor,0.208
256,pp,and,0.028
256,pp,or,0.028
256,pp,xor,0.028
256,nn,and,0.571
256,nn,or,0.570
256,nn,xor,0.405
512,pp,and,0.053
512,pp,or,0.056
512,pp,xor,0.056
512,nn,and,1.164
512,nn,or,1.163
512,nn,xor,0.832
1024,pp,and,0.104
1024,pp,or,0.104
1024,pp,xor,0.103
1024,nn,and,2.304
1024,nn,or,2.306
1024,nn,xor,1.681
2048,pp,and,0.256
2048,pp,or,0.259
2048,pp,xor,0.259
2048,nn,and,4.772
2048,nn,or,4.758
2048,nn,xor,3.482
4096,pp,and,0.789
4096,pp,or,0.786
4096,pp,xor,0.790
4096,nn,and,10.247
4096,nn,or,10.239
4096,nn,xor,7.586
8192,pp,and,1.562
8192,pp,or,1.562
8192,pp,xor,1.561
8192,nn,and,20.481
8192,nn,or,20.460
8192,nn,xor,15.094
16384,pp,and,3.114
16384,pp,or,3.119
16384,pp,xor,3.114
16384,nn,and,41.745
16384,nn,or,41.630
16384,nn,xor,30.570
